<SemiconductorModuleTests>																					
	<SequenceName>	<StepName>	<StepId>	<TestName>	<TestNumber>	<Pin>	<LowLimitExpression>	<HighLimitExpression>	<ComparisonType>	<ScalingFactor>	<Units>	<EvaluationType>	<FailBin>	<PublishedDataId>	<TestDataSource>	<DynamicPAT_Enabled>	<DynamicPAT_TestNumber>	<DynamicPAT_TestName>	<DynamicPAT_FailBin>	<DynamicPAT_LowLimit>	<DynamicPAT_HighLimit>
	ADuM225_qc_flow	idle_supply_current_N1_1p9_1p9	ID#:9BxtOrPt7xGyL6hZXyCkjD	IDD_VDD2_high_1p9_1p9	14		0.0005	0.0018	GELE			Numeric Limit	7	IDD_VDD2_high_1p9_1p9		FALSE					
	ADuM225_qc_flow	idle_supply_current_N1_1p9_1p9	ID#:9BxtOrPt7xGyL6hZXyCkjD	IDD_VDD1_low_1p9_1p9	15		0.003	0.0096	GELE			Numeric Limit	7	IDD_VDD1_low_1p9_1p9		FALSE					
	ADuM225_qc_flow	idle_supply_current_N1_1p9_1p9	ID#:9BxtOrPt7xGyL6hZXyCkjD	IDD_VDD2_low_1p9_1p9	16		0.0005	0.0018	GELE			Numeric Limit	7	IDD_VDD2_low_1p9_1p9		FALSE					
	ADuM225_qc_flow	dynamic_supply_current_1Mbps_1p9_1p9	ID#:9RxtOrPt7xGyL6hZXyCkjD	tt_dynamic_supply_current_1Mbps_1p9_1p9	30000003				LOG			Numeric Limit			Seconds()-Locals.StepStartTime	FALSE					
	ADuM225_qc_flow	dynamic_supply_current_1Mbps_1p9_1p9	ID#:9RxtOrPt7xGyL6hZXyCkjD	IDD_1MB_VDD1_1p9_1p9	17		0.0005	0.006	GELE			Numeric Limit	9	IDD_1MB_VDD1_1p9_1p9		FALSE					
	ADuM225_qc_flow	dynamic_supply_current_1Mbps_1p9_1p9	ID#:9RxtOrPt7xGyL6hZXyCkjD	IDD_1MB_VDD2_1p9_1p9	18		0.0005	0.0018	GELE			Numeric Limit	9	IDD_1MB_VDD2_1p9_1p9		FALSE					
	ADuM225_qc_flow	dynamic_supply_current_25Mbps_1p9_1p9	ID#:9hxtOrPt7xGyL6hZXyCkjD	tt_dynamic_supply_current_25Mbps_1p9_1p9	30000004				LOG			Numeric Limit			Seconds()-Locals.StepStartTime	FALSE					
	ADuM225_qc_flow	dynamic_supply_current_25Mbps_1p9_1p9	ID#:9hxtOrPt7xGyL6hZXyCkjD	IDD_25MB_VDD1_1p9_1p9	19		0.0005	0.0064	GELE			Numeric Limit	9	IDD_25MB_VDD1_1p9_1p9		FALSE					
	ADuM225_qc_flow	dynamic_supply_current_25Mbps_1p9_1p9	ID#:9hxtOrPt7xGyL6hZXyCkjD	IDD_25MB_VDD2_1p9_1p9	20		0.0005	0.0028	GELE			Numeric Limit	9	IDD_25MB_VDD2_1p9_1p9		FALSE					
	ADuM225_qc_flow	dynamic_supply_current_100Mbps_1p9_1p9	ID#:9xxtOrPt7xGyL6hZXyCkjD	tt_dynamic_supply_current_100Mbps_1p9_1p9	30000005				LOG			Numeric Limit			Seconds()-Locals.StepStartTime	FALSE					
	ADuM225_qc_flow	dynamic_supply_current_100Mbps_1p9_1p9	ID#:9xxtOrPt7xGyL6hZXyCkjD	IDD_100MB_VDD1_1p9_1p9	21		0.0005	0.0084	GELE			Numeric Limit	9	IDD_100MB_VDD1_1p9_1p9		FALSE					
	ADuM225_qc_flow	dynamic_supply_current_100Mbps_1p9_1p9	ID#:9xxtOrPt7xGyL6hZXyCkjD	IDD_100MB_VDD2_1p9_1p9	22		0.0005	0.0058	GELE			Numeric Limit	9	IDD_100MB_VDD2_1p9_1p9		FALSE					
	ADuM225_qc_flow	idle_supply_current_N0_2p75_2p75	ID#:+BxtOrPt7xGyL6hZXyCkjD	tt_idle_supply_current_N0_2p75_2p75	30000006				LOG			Numeric Limit			Seconds()-Locals.StepStartTime	FALSE					
	ADuM225_qc_flow	idle_supply_current_N0_2p75_2p75	ID#:+BxtOrPt7xGyL6hZXyCkjD	IDD_VDD1_high_2p75_2p75	23		0.003	0.0095	GELE			Numeric Limit	7	IDD_VDD1_high_2p75_2p75		FALSE					
	ADuM225_qc_flow	idle_supply_current_N0_2p75_2p75	ID#:+BxtOrPt7xGyL6hZXyCkjD	IDD_VDD2_high_2p75_2p75	24		0.0005	0.0018	GELE			Numeric Limit	7	IDD_VDD2_high_2p75_2p75		FALSE					
	ADuM225_qc_flow	idle_supply_current_N0_2p75_2p75	ID#:+BxtOrPt7xGyL6hZXyCkjD	IDD_VDD1_low_2p75_2p75	25		0.0005	0.0012	GELE			Numeric Limit	7	IDD_VDD1_low_2p75_2p75		FALSE					
	ADuM225_qc_flow	idle_supply_current_N0_2p75_2p75	ID#:+BxtOrPt7xGyL6hZXyCkjD	IDD_VDD2_low_2p75_2p75	26		0.0005	0.0018	GELE			Numeric Limit	7	IDD_VDD2_low_2p75_2p75		FALSE					
	ADuM225_qc_flow	idle_supply_current_N1_2p75_2p75	ID#:+RxtOrPt7xGyL6hZXyCkjD	tt_idle_supply_current_N1_2p75_2p75	30000007				LOG			Numeric Limit			Seconds()-Locals.StepStartTime	FALSE					
	ADuM225_qc_flow	idle_supply_current_N1_2p75_2p75	ID#:+RxtOrPt7xGyL6hZXyCkjD	IDD_VDD1_high_2p75_2p75	27		0.0005	0.0012	GELE			Numeric Limit	7	IDD_VDD1_high_2p75_2p75		FALSE					
	ADuM225_qc_flow	idle_supply_current_N1_2p75_2p75	ID#:+RxtOrPt7xGyL6hZXyCkjD	IDD_VDD2_high_2p75_2p75	28		0.0005	0.0018	GELE			Numeric Limit	7	IDD_VDD2_high_2p75_2p75		FALSE					
	ADuM225_qc_flow	idle_supply_current_N1_2p75_2p75	ID#:+RxtOrPt7xGyL6hZXyCkjD	IDD_VDD1_low_2p75_2p75	29		0.003	0.0095	GELE			Numeric Limit	7	IDD_VDD1_low_2p75_2p75		FALSE					
	ADuM225_qc_flow	idle_supply_current_N1_2p75_2p75	ID#:+RxtOrPt7xGyL6hZXyCkjD	IDD_VDD2_low_2p75_2p75	30		0.0005	0.0018	GELE			Numeric Limit	7	IDD_VDD2_low_2p75_2p75		FALSE					
	ADuM225_qc_flow	dynamic_supply_current_1Mbps_2p75_2p75	ID#:+hxtOrPt7xGyL6hZXyCkjD	tt_dynamic_supply_current_1Mbps_2p75_2p75	30000008				LOG			Numeric Limit			Seconds()-Locals.StepStartTime	FALSE					
	ADuM225_qc_flow	dynamic_supply_current_1Mbps_2p75_2p75	ID#:+hxtOrPt7xGyL6hZXyCkjD	IDD_1MB_VDD1_2p75_2p75	31		0.0005	0.0062	GELE			Numeric Limit	9	IDD_1MB_VDD1_2p75_2p75		FALSE					
	ADuM225_qc_flow	dynamic_supply_current_1Mbps_2p75_2p75	ID#:+hxtOrPt7xGyL6hZXyCkjD	IDD_1MB_VDD2_2p75_2p75	32		0.0005	0.0019	GELE			Numeric Limit	9	IDD_1MB_VDD2_2p75_2p75		FALSE					
	ADuM225_qc_flow	dynamic_supply_current_25Mbps_2p75_2p75	ID#:+xxtOrPt7xGyL6hZXyCkjD	tt_dynamic_supply_current_25Mbps_2p75_2p75	30000009				LOG			Numeric Limit			Seconds()-Locals.StepStartTime	FALSE					
	ADuM225_qc_flow	dynamic_supply_current_25Mbps_2p75_2p75	ID#:+xxtOrPt7xGyL6hZXyCkjD	IDD_25MB_VDD1_2p75_2p75	33		0.0005	0.0066	GELE			Numeric Limit	9	IDD_25MB_VDD1_2p75_2p75		FALSE					
	ADuM225_qc_flow	dynamic_supply_current_25Mbps_2p75_2p75	ID#:+xxtOrPt7xGyL6hZXyCkjD	IDD_25MB_VDD2_2p75_2p75	34		0.0005	0.0028	GELE			Numeric Limit	9	IDD_25MB_VDD2_2p75_2p75		FALSE					
	ADuM225_qc_flow	dynamic_supply_current_100Mbps_2p75_2p75	ID#:/BxtOrPt7xGyL6hZXyCkjD	tt_dynamic_supply_current_100Mbps_2p75_2p75	30000010				LOG			Numeric Limit			Seconds()-Locals.StepStartTime	FALSE					
	ADuM225_qc_flow	dynamic_supply_current_100Mbps_2p75_2p75	ID#:/BxtOrPt7xGyL6hZXyCkjD	IDD_100MB_VDD1_2p75_2p75	35		0.0005	0.009	GELE			Numeric Limit	9	IDD_100MB_VDD1_2p75_2p75		FALSE					
	ADuM225_qc_flow	dynamic_supply_current_100Mbps_2p75_2p75	ID#:/BxtOrPt7xGyL6hZXyCkjD	IDD_100MB_VDD2_2p75_2p75	36		0.0005	0.0058	GELE			Numeric Limit	9	IDD_100MB_VDD2_2p75_2p75		FALSE					
	ADuM225_qc_flow	idle_supply_current_N0_3p6_3p6	ID#:/RxtOrPt7xGyL6hZXyCkjD	tt_idle_supply_current_N0_3p6_3p6	30000011				LOG			Numeric Limit			Seconds()-Locals.StepStartTime	FALSE					
	ADuM225_qc_flow	idle_supply_current_N0_3p6_3p6	ID#:/RxtOrPt7xGyL6hZXyCkjD	IDD_VDD1_high_3p6_3p6	37		0.003	0.0097	GELE			Numeric Limit	7	IDD_VDD1_high_3p6_3p6		FALSE					
	ADuM225_qc_flow	idle_supply_current_N0_3p6_3p6	ID#:/RxtOrPt7xGyL6hZXyCkjD	IDD_VDD2_high_3p6_3p6	38		0.0005	0.0018	GELE			Numeric Limit	7	IDD_VDD2_high_3p6_3p6		FALSE					
	ADuM225_qc_flow	idle_supply_current_N0_3p6_3p6	ID#:/RxtOrPt7xGyL6hZXyCkjD	IDD_VDD1_low_3p6_3p6	39		0.0005	0.0013	GELE			Numeric Limit	7	IDD_VDD1_low_3p6_3p6		FALSE					
	ADuM225_qc_flow	idle_supply_current_N0_3p6_3p6	ID#:/RxtOrPt7xGyL6hZXyCkjD	IDD_VDD2_low_3p6_3p6	40		0.0005	0.0018	GELE			Numeric Limit	7	IDD_VDD2_low_3p6_3p6		FALSE					
	ADuM225_qc_flow	idle_supply_current_N1_3p6_3p6	ID#:/hxtOrPt7xGyL6hZXyCkjD	tt_idle_supply_current_N1_3p6_3p6	30000012				LOG			Numeric Limit			Seconds()-Locals.StepStartTime	FALSE					
	ADuM225_qc_flow	idle_supply_current_N1_3p6_3p6	ID#:/hxtOrPt7xGyL6hZXyCkjD	IDD_VDD1_high_3p6_3p6	41		0.0005	0.0013	GELE			Numeric Limit	7	IDD_VDD1_high_3p6_3p6		FALSE					
	ADuM225_qc_flow	idle_supply_current_N1_3p6_3p6	ID#:/hxtOrPt7xGyL6hZXyCkjD	IDD_VDD2_high_3p6_3p6	42		0.0005	0.0018	GELE			Numeric Limit	7	IDD_VDD2_high_3p6_3p6		FALSE					
	ADuM225_qc_flow	idle_supply_current_N1_3p6_3p6	ID#:/hxtOrPt7xGyL6hZXyCkjD	IDD_VDD1_low_3p6_3p6	43		0.003	0.0097	GELE			Numeric Limit	7	IDD_VDD1_low_3p6_3p6		FALSE					
	ADuM225_qc_flow	idle_supply_current_N1_3p6_3p6	ID#:/hxtOrPt7xGyL6hZXyCkjD	IDD_VDD2_low_3p6_3p6	44		0.0005	0.0018	GELE			Numeric Limit	7	IDD_VDD2_low_3p6_3p6		FALSE					
	ADuM225_qc_flow	dynamic_supply_current_1Mbps_3p6_3p6	ID#:/xxtOrPt7xGyL6hZXyCkjD	tt_dynamic_supply_current_1Mbps_3p6_3p6	30000013				LOG			Numeric Limit			Seconds()-Locals.StepStartTime	FALSE					
	ADuM225_qc_flow	dynamic_supply_current_1Mbps_3p6_3p6	ID#:/xxtOrPt7xGyL6hZXyCkjD	IDD_1MB_VDD1_3p6_3p6	45		0.0005	0.0062	GELE			Numeric Limit	9	IDD_1MB_VDD1_3p6_3p6		FALSE					
	ADuM225_qc_flow	dynamic_supply_current_1Mbps_3p6_3p6	ID#:/xxtOrPt7xGyL6hZXyCkjD	IDD_1MB_VDD2_3p6_3p6	46		0.0005	0.0019	GELE			Numeric Limit	9	IDD_1MB_VDD2_3p6_3p6		FALSE					
	ADuM225_qc_flow	dynamic_supply_current_25Mbps_3p6_3p6	ID#:AB1tOrPt7xGyL6hZXyCkjD	tt_dynamic_supply_current_25Mbps_3p6_3p6	30000014				LOG			Numeric Limit			Seconds()-Locals.StepStartTime	FALSE					
	ADuM225_qc_flow	dynamic_supply_current_25Mbps_3p6_3p6	ID#:AB1tOrPt7xGyL6hZXyCkjD	IDD_25MB_VDD1_3p6_3p6	47		0.0005	0.0067	GELE			Numeric Limit	9	IDD_25MB_VDD1_3p6_3p6		FALSE					
	ADuM225_qc_flow	dynamic_supply_current_25Mbps_3p6_3p6	ID#:AB1tOrPt7xGyL6hZXyCkjD	IDD_25MB_VDD2_3p6_3p6	48		0.0005	0.0031	GELE			Numeric Limit	9	IDD_25MB_VDD2_3p6_3p6		FALSE					
	ADuM225_qc_flow	dynamic_supply_current_100Mbps_3p6_3p6	ID#:AR1tOrPt7xGyL6hZXyCkjD	tt_dynamic_supply_current_100Mbps_3p6_3p6	30000015				LOG			Numeric Limit			Seconds()-Locals.StepStartTime	FALSE					
	ADuM225_qc_flow	dynamic_supply_current_100Mbps_3p6_3p6	ID#:AR1tOrPt7xGyL6hZXyCkjD	IDD_100MB_VDD1_3p6_3p6	49		0.0005	0.0091	GELE			Numeric Limit	9	IDD_100MB_VDD1_3p6_3p6		FALSE					
	ADuM225_qc_flow	dynamic_supply_current_100Mbps_3p6_3p6	ID#:AR1tOrPt7xGyL6hZXyCkjD	IDD_100MB_VDD2_3p6_3p6	50		0.0005	0.0068	GELE			Numeric Limit	9	IDD_100MB_VDD2_3p6_3p6		FALSE					
	ADuM225_qc_flow	idle_supply_current_N0_5p5_5p5	ID#:Ah1tOrPt7xGyL6hZXyCkjD	tt_idle_supply_current_N0_5p5_5p5	30000016				LOG			Numeric Limit			Seconds()-Locals.StepStartTime	FALSE					
	ADuM225_qc_flow	idle_supply_current_N0_5p5_5p5	ID#:Ah1tOrPt7xGyL6hZXyCkjD	IDD_VDD1_high_5p5_5p5	51		0.003	0.01	GELE			Numeric Limit	7	IDD_VDD1_high_5p5_5p5		FALSE					
	ADuM225_qc_flow	idle_supply_current_N0_5p5_5p5	ID#:Ah1tOrPt7xGyL6hZXyCkjD	IDD_VDD2_high_5p5_5p5	52		0.0005	0.0019	GELE			Numeric Limit	7	IDD_VDD2_high_5p5_5p5		FALSE					
	ADuM225_qc_flow	idle_supply_current_N0_5p5_5p5	ID#:Ah1tOrPt7xGyL6hZXyCkjD	IDD_VDD1_low_5p5_5p5	53		0.0005	0.0013	GELE			Numeric Limit	7	IDD_VDD1_low_5p5_5p5		FALSE					
	ADuM225_qc_flow	idle_supply_current_N0_5p5_5p5	ID#:Ah1tOrPt7xGyL6hZXyCkjD	IDD_VDD2_low_5p5_5p5	54		0.0005	0.0018	GELE			Numeric Limit	7	IDD_VDD2_low_5p5_5p5		FALSE					
	ADuM225_qc_flow	idle_supply_current_N1_5p5_5p5	ID#:Ax1tOrPt7xGyL6hZXyCkjD	tt_idle_supply_current_N1_5p5_5p5	30000017				LOG			Numeric Limit			Seconds()-Locals.StepStartTime	FALSE					
	ADuM225_qc_flow	idle_supply_current_N1_5p5_5p5	ID#:Ax1tOrPt7xGyL6hZXyCkjD	IDD_VDD1_high_5p5_5p5	55		0.0005	0.0013	GELE			Numeric Limit	7	IDD_VDD1_high_5p5_5p5		FALSE					
	ADuM225_qc_flow	idle_supply_current_N1_5p5_5p5	ID#:Ax1tOrPt7xGyL6hZXyCkjD	IDD_VDD2_high_5p5_5p5	56		0.0005	0.0018	GELE			Numeric Limit	7	IDD_VDD2_high_5p5_5p5		FALSE					
	ADuM225_qc_flow	idle_supply_current_N1_5p5_5p5	ID#:Ax1tOrPt7xGyL6hZXyCkjD	IDD_VDD1_low_5p5_5p5	57		0.003	0.01	GELE			Numeric Limit	7	IDD_VDD1_low_5p5_5p5		FALSE					
	ADuM225_qc_flow	idle_supply_current_N1_5p5_5p5	ID#:Ax1tOrPt7xGyL6hZXyCkjD	IDD_VDD2_low_5p5_5p5	58		0.0005	0.0019	GELE			Numeric Limit	7	IDD_VDD2_low_5p5_5p5		FALSE					
	ADuM225_qc_flow	dynamic_supply_current_1Mbps_5p5_5p5	ID#:BB1tOrPt7xGyL6hZXyCkjD	tt_dynamic_supply_current_1Mbps_5p5_5p5	30000018				LOG			Numeric Limit			Seconds()-Locals.StepStartTime	FALSE					
	ADuM225_qc_flow	dynamic_supply_current_1Mbps_5p5_5p5	ID#:BB1tOrPt7xGyL6hZXyCkjD	IDD_1MB_VDD1_5p5_5p5	59		0.0005	0.0068	GELE			Numeric Limit	9	IDD_1MB_VDD1_5p5_5p5		FALSE					
	ADuM225_qc_flow	dynamic_supply_current_1Mbps_5p5_5p5	ID#:BB1tOrPt7xGyL6hZXyCkjD	IDD_1MB_VDD2_5p5_5p5	60		0.0005	0.002	GELE			Numeric Limit	9	IDD_1MB_VDD2_5p5_5p5		FALSE					
	ADuM225_qc_flow	dynamic_supply_current_25Mbps_5p5_5p5	ID#:BR1tOrPt7xGyL6hZXyCkjD	tt_dynamic_supply_current_25Mbps_5p5_5p5	30000019				LOG			Numeric Limit			Seconds()-Locals.StepStartTime	FALSE					
	ADuM225_qc_flow	dynamic_supply_current_25Mbps_5p5_5p5	ID#:BR1tOrPt7xGyL6hZXyCkjD	IDD_25MB_VDD1_5p5_5p5	61		0.0005	0.0072	GELE			Numeric Limit	9	IDD_25MB_VDD1_5p5_5p5		FALSE					
	ADuM225_qc_flow	dynamic_supply_current_25Mbps_5p5_5p5	ID#:BR1tOrPt7xGyL6hZXyCkjD	IDD_25MB_VDD2_5p5_5p5	62		0.0005	0.0032	GELE			Numeric Limit	9	IDD_25MB_VDD2_5p5_5p5		FALSE					
	ADuM225_qc_flow	dynamic_supply_current_100Mbps_5p5_5p5	ID#:Bh1tOrPt7xGyL6hZXyCkjD	tt_dynamic_supply_current_100Mbps_5p5_5p5	30000020				LOG			Numeric Limit			Seconds()-Locals.StepStartTime	FALSE					
	ADuM225_qc_flow	dynamic_supply_current_100Mbps_5p5_5p5	ID#:Bh1tOrPt7xGyL6hZXyCkjD	IDD_100MB_VDD1_5p5_5p5	63		0.0005	0.0093	GELE			Numeric Limit	9	IDD_100MB_VDD1_5p5_5p5		FALSE					
	ADuM225_qc_flow	dynamic_supply_current_100Mbps_5p5_5p5	ID#:Bh1tOrPt7xGyL6hZXyCkjD	IDD_100MB_VDD2_5p5_5p5	64		0.0005	0.0081	GELE			Numeric Limit	9	IDD_100MB_VDD2_5p5_5p5		FALSE					
	ADuM225_qc_flow	Tr_prop_delay_1M_1p7_1p7	ID#:Bx1tOrPt7xGyL6hZXyCkjD	tt_Tr_prop_delay_1M_1p7_1p7	30000021				LOG			Numeric Limit			Seconds()-Locals.StepStartTime	FALSE					
	ADuM225_qc_flow	Tr_prop_delay_1M_1p7_1p7	ID#:Bx1tOrPt7xGyL6hZXyCkjD	tPLH_VOA_1p7_1p7	65		0.000000006	0.000000013	GELE			Numeric Limit	15	tPLH_VOA_1p7_1p7		FALSE					
	ADuM225_qc_flow	Tr_prop_delay_1M_1p7_1p7	ID#:Bx1tOrPt7xGyL6hZXyCkjD	tPLH_VOB_1p7_1p7	66		0.000000006	0.000000013	GELE			Numeric Limit	15	tPLH_VOB_1p7_1p7		FALSE					
	ADuM225_qc_flow	Tf_prop_delay_1M_1p7_1p7	ID#:CB1tOrPt7xGyL6hZXyCkjD	tt_Tf_prop_delay_1M_1p7_1p7	30000022				LOG			Numeric Limit			Seconds()-Locals.StepStartTime	FALSE					
	ADuM225_qc_flow	Tf_prop_delay_1M_1p7_1p7	ID#:CB1tOrPt7xGyL6hZXyCkjD	tPHL_VOA_1p7_1p7	67		0.000000006	0.000000013	GELE			Numeric Limit	15	tPHL_VOA_1p7_1p7		FALSE					
	ADuM225_qc_flow	Tf_prop_delay_1M_1p7_1p7	ID#:CB1tOrPt7xGyL6hZXyCkjD	tPHL_VOB_1p7_1p7	68		0.000000006	0.000000013	GELE			Numeric Limit	15	tPHL_VOB_1p7_1p7		FALSE					
	ADuM225_qc_flow	pulse_width_distortion_1M_1p7_1p7	ID#:CR1tOrPt7xGyL6hZXyCkjD	tt_pulse_width_distortion_1M_1p7_1p7	30000023				LOG			Numeric Limit			Seconds()-Locals.StepStartTime	FALSE					
	ADuM225_qc_flow	pulse_width_distortion_1M_1p7_1p7	ID#:CR1tOrPt7xGyL6hZXyCkjD	tPWD_VOA_1p7_1p7	69		-0.000000003	0.000000003	GELE			Numeric Limit	15	tPWD_VOA_1p7_1p7		FALSE					
	ADuM225_qc_flow	pulse_width_distortion_1M_1p7_1p7	ID#:CR1tOrPt7xGyL6hZXyCkjD	tPWD_VOB_1p7_1p7	70		-0.000000003	0.000000003	GELE			Numeric Limit	15	tPWD_VOB_1p7_1p7		FALSE					
	ADuM225_qc_flow	ch_ch_match_1M_1p7_1p7	ID#:Ch1tOrPt7xGyL6hZXyCkjD	tt_ch_ch_match_1M_1p7_1p7	30000024				LOG			Numeric Limit			Seconds()-Locals.StepStartTime	FALSE					
	ADuM225_qc_flow	ch_ch_match_1M_1p7_1p7	ID#:Ch1tOrPt7xGyL6hZXyCkjD	tPSKCD_Fall_1p7_1p7	71		-0.000000003	0.000000003	GELE			Numeric Limit	15	tPSKCD_Fall_1p7_1p7		FALSE					
	ADuM225_qc_flow	ch_ch_match_1M_1p7_1p7	ID#:Ch1tOrPt7xGyL6hZXyCkjD	tPSKCD_RiseFall_1p7_1p7	72		-0.000000003	0.000000003	GELE			Numeric Limit	15	tPSKCD_RiseFall_1p7_1p7		FALSE					
	ADuM225_qc_flow	ch_ch_match_1M_1p7_1p7	ID#:Ch1tOrPt7xGyL6hZXyCkjD	tPSKCD_Rise_1p7_1p7	73		-0.000000003	0.000000003	GELE			Numeric Limit	15	tPSKCD_Rise_1p7_1p7		FALSE					
	ADuM225_qc_flow	func_1Mbps_1p7_1p7	ID#:Cx1tOrPt7xGyL6hZXyCkjD	tt_func_1Mbps_1p7_1p7	30000025				LOG			Numeric Limit			Seconds()-Locals.StepStartTime	FALSE					
	ADuM225_qc_flow	func_1Mbps_1p7_1p7	ID#:Cx1tOrPt7xGyL6hZXyCkjD	func_1Mbps_1p7_1p7	74		1	1	GELE			Numeric Limit	17	0		FALSE					
	ADuM225_qc_flow	func_1Mbps_1p7_1p7	ID#:Cx1tOrPt7xGyL6hZXyCkjD	func_1Mbps_1p7_1p7	75		1	1	GELE			Numeric Limit	17	1		FALSE					
	ADuM225_qc_flow	func_1Mbps_1p7_1p7	ID#:Cx1tOrPt7xGyL6hZXyCkjD	func_1Mbps_1p7_1p7	76		1	1	GELE			Numeric Limit	17	2		FALSE					
	ADuM225_qc_flow	func_1Mbps_1p7_1p7	ID#:Cx1tOrPt7xGyL6hZXyCkjD	func_1Mbps_1p7_1p7	77		1	1	GELE			Numeric Limit	17	3		FALSE					
	ADuM225_qc_flow	func_1Mbps_1p7_1p7	ID#:Cx1tOrPt7xGyL6hZXyCkjD	func_1Mbps_1p7_1p7	78		1	1	GELE			Numeric Limit	17	4		FALSE					
	ADuM225_qc_flow	func_1Mbps_1p7_1p7	ID#:Cx1tOrPt7xGyL6hZXyCkjD	func_1Mbps_1p7_1p7	79		1	1	GELE			Numeric Limit	17	5		FALSE					
	ADuM225_qc_flow	func_1Mbps_1p7_1p7	ID#:Cx1tOrPt7xGyL6hZXyCkjD	func_1Mbps_1p7_1p7	80		1	1	GELE			Numeric Limit	17	6		FALSE					
	ADuM225_qc_flow	func_1Mbps_1p7_1p7	ID#:Cx1tOrPt7xGyL6hZXyCkjD	func_1Mbps_1p7_1p7	81		1	1	GELE			Numeric Limit	17	7		FALSE					
	ADuM225_qc_flow	func_1Mbps_1p7_1p7	ID#:Cx1tOrPt7xGyL6hZXyCkjD	func_1Mbps_1p7_1p7	82		1	1	GELE			Numeric Limit	17	8		FALSE					
	ADuM225_qc_flow	func_1Mbps_1p7_1p7	ID#:Cx1tOrPt7xGyL6hZXyCkjD	func_1Mbps_1p7_1p7	83		1	1	GELE			Numeric Limit	17	9		FALSE					
	ADuM225_qc_flow	func_5Mbps_1p7_1p7	ID#:DB1tOrPt7xGyL6hZXyCkjD	tt_func_5Mbps_1p7_1p7	30000026				LOG			Numeric Limit			Seconds()-Locals.StepStartTime	FALSE					
	ADuM225_qc_flow	func_5Mbps_1p7_1p7	ID#:DB1tOrPt7xGyL6hZXyCkjD	func_5Mbps_1p7_1p7	84		1	1	GELE			Numeric Limit	17	0		FALSE					
	ADuM225_qc_flow	func_5Mbps_1p7_1p7	ID#:DB1tOrPt7xGyL6hZXyCkjD	func_5Mbps_1p7_1p7	85		1	1	GELE			Numeric Limit	17	1		FALSE					
	ADuM225_qc_flow	func_5Mbps_1p7_1p7	ID#:DB1tOrPt7xGyL6hZXyCkjD	func_5Mbps_1p7_1p7	86		1	1	GELE			Numeric Limit	17	2		FALSE					
	ADuM225_qc_flow	func_5Mbps_1p7_1p7	ID#:DB1tOrPt7xGyL6hZXyCkjD	func_5Mbps_1p7_1p7	87		1	1	GELE			Numeric Limit	17	3		FALSE					
