<SemiconductorModuleTests>
	<SequenceName>	<StepName>	<StepId>	<TestName>	<TestNumber>	<Pin>	<LowLimitExpression>	<HighLimitExpression>	<ComparisonType>	<ScalingFactor>	<Units>	<EvaluationType>	<FailBin>	<PublishedDataId>	<TestDataSource>	<DynamicPAT_Enabled>	<DynamicPAT_TestNumber>	<DynamicPAT_TestName>	<DynamicPAT_FailBin>	<DynamicPAT_LowLimit>	<DynamicPAT_HighLimit>	
	ADuM225_pd_ipat_flow	idle_supply_current_N0_5p5_5p5	ID#:0xptOrPt7xGyL6hZXyCkjD	IDD_VDD2_high_5p5_5p5	127		0.0005328	0.0018672	GELE			Numeric Limit	7	IDD_VDD2_high_5p5_5p5		True	5200	IDD_VDD2_high_5p5_5p5_PAT		-6	6	
	ADuM225_pd_ipat_flow	idle_supply_current_N0_5p5_5p5	ID#:0xptOrPt7xGyL6hZXyCkjD	IDD_VDD1_low_5p5_5p5	129		0.000547	0.001253	GELE			Numeric Limit	7	IDD_VDD1_low_5p5_5p5		True	5300	IDD_VDD1_low_5p5_5p5_PAT		-6	6	
	ADuM225_pd_ipat_flow	idle_supply_current_N0_5p5_5p5	ID#:0xptOrPt7xGyL6hZXyCkjD	IDD_VDD2_low_5p5_5p5	131		0.000533	0.001767	GELE			Numeric Limit	7	IDD_VDD2_low_5p5_5p5		True	5400	IDD_VDD2_low_5p5_5p5_PAT		-6	6	
	ADuM225_pd_ipat_flow	idle_supply_current_N1_5p5_5p5	ID#:1BptOrPt7xGyL6hZXyCkjD	tt_idle_supply_current_N1_5p5_5p5	10000017				LOG			Numeric Limit			Seconds()-Locals.StepStartTime	False						
	ADuM225_pd_ipat_flow	idle_supply_current_N1_5p5_5p5	ID#:1BptOrPt7xGyL6hZXyCkjD	IDD_VDD1_high_5p5_5p5	125		0.000547	0.001253	GELE			Numeric Limit	7	IDD_VDD1_high_5p5_5p5		True	5500	IDD_VDD1_high_5p5_5p5_PAT		-6	6	
	ADuM225_pd_ipat_flow	idle_supply_current_N1_5p5_5p5	ID#:1BptOrPt7xGyL6hZXyCkjD	IDD_VDD2_high_5p5_5p5	122		0.000533	0.001767	GELE			Numeric Limit	7	IDD_VDD2_high_5p5_5p5		True	5600	IDD_VDD2_high_5p5_5p5_PAT		-6	6	
	ADuM225_pd_ipat_flow	idle_supply_current_N1_5p5_5p5	ID#:1BptOrPt7xGyL6hZXyCkjD	IDD_VDD1_low_5p5_5p5	132		0.0034094	0.0095906	GELE			Numeric Limit	7	IDD_VDD1_low_5p5_5p5		True	5700	IDD_VDD1_low_5p5_5p5_PAT		-6	6	
	ADuM225_pd_ipat_flow	idle_supply_current_N1_5p5_5p5	ID#:1BptOrPt7xGyL6hZXyCkjD	IDD_VDD2_low_5p5_5p5	134		0.0005328	0.0018672	GELE			Numeric Limit	7	IDD_VDD2_low_5p5_5p5		True	5800	IDD_VDD2_low_5p5_5p5_PAT		-6	6	
	ADuM225_pd_ipat_flow	dynamic_supply_current_1Mbps_5p5_5p5	ID#:1RptOrPt7xGyL6hZXyCkjD	tt_dynamic_supply_current_1Mbps_5p5_5p5	10000018				LOG			Numeric Limit			Seconds()-Locals.StepStartTime	False						
	ADuM225_pd_ipat_flow	dynamic_supply_current_1Mbps_5p5_5p5	ID#:1RptOrPt7xGyL6hZXyCkjD	IDD_1MB_VDD1_5p5_5p5	136		0.0007463	0.0065537	GELE			Numeric Limit	9	IDD_1MB_VDD1_5p5_5p5		False						
	ADuM225_pd_ipat_flow	dynamic_supply_current_1Mbps_5p5_5p5	ID#:1RptOrPt7xGyL6hZXyCkjD	IDD_1MB_VDD2_5p5_5p5	135		0.0005304	0.0019696	GELE			Numeric Limit	9	IDD_1MB_VDD2_5p5_5p5		False						
	ADuM225_pd_ipat_flow	dynamic_supply_current_25Mbps_5p5_5p5	ID#:1hptOrPt7xGyL6hZXyCkjD	tt_dynamic_supply_current_25Mbps_5p5_5p5	10000019				LOG			Numeric Limit			Seconds()-Locals.StepStartTime	False						
	ADuM225_pd_ipat_flow	dynamic_supply_current_25Mbps_5p5_5p5	ID#:1hptOrPt7xGyL6hZXyCkjD	IDD_25MB_VDD1_5p5_5p5	137		0.0007327	0.0069673	GELE			Numeric Limit	9	IDD_25MB_VDD1_5p5_5p5		False						
	ADuM225_pd_ipat_flow	dynamic_supply_current_25Mbps_5p5_5p5	ID#:1hptOrPt7xGyL6hZXyCkjD	IDD_25MB_VDD2_5p5_5p5	139		0.0005717	0.0031283	GELE			Numeric Limit	9	IDD_25MB_VDD2_5p5_5p5		False						
	ADuM225_pd_ipat_flow	dynamic_supply_current_100Mbps_5p5_5p5	ID#:1xptOrPt7xGyL6hZXyCkjD	tt_dynamic_supply_current_100Mbps_5p5_5p5	10000020				LOG			Numeric Limit			Seconds()-Locals.StepStartTime	False						
	ADuM225_pd_ipat_flow	dynamic_supply_current_100Mbps_5p5_5p5	ID#:1xptOrPt7xGyL6hZXyCkjD	IDD_100MB_VDD1_5p5_5p5	141		0.0007612	0.0090388	GELE			Numeric Limit	9	IDD_100MB_VDD1_5p5_5p5		False						
	ADuM225_pd_ipat_flow	dynamic_supply_current_100Mbps_5p5_5p5	ID#:1xptOrPt7xGyL6hZXyCkjD	IDD_100MB_VDD2_5p5_5p5	144		0.0007788	0.0078212	GELE			Numeric Limit	9	IDD_100MB_VDD2_5p5_5p5		False						
	ADuM225_pd_ipat_flow	Tr_prop_delay_1M_1p7_1p7	ID#:2BptOrPt7xGyL6hZXyCkjD	tt_Tr_prop_delay_1M_1p7_1p7	10000021				LOG			Numeric Limit			Seconds()-Locals.StepStartTime	False						
	ADuM225_pd_ipat_flow	Tr_prop_delay_1M_1p7_1p7	ID#:2BptOrPt7xGyL6hZXyCkjD	tPLH_VOA_1p7_1p7	146		0.0000000066	0.0000000124	GELE			Numeric Limit	15	tPLH_VOA_1p7_1p7		False						
	ADuM225_pd_ipat_flow	Tr_prop_delay_1M_1p7_1p7	ID#:2BptOrPt7xGyL6hZXyCkjD	tPLH_VOB_1p7_1p7	138		0.0000000068	0.0000000122	GELE			Numeric Limit	15	tPLH_VOB_1p7_1p7		False						
	ADuM225_pd_ipat_flow	Tf_prop_delay_1M_1p7_1p7	ID#:2RptOrPt7xGyL6hZXyCkjD	tt_Tf_prop_delay_1M_1p7_1p7	10000022				LOG			Numeric Limit			Seconds()-Locals.StepStartTime	False						
	ADuM225_pd_ipat_flow	Tf_prop_delay_1M_1p7_1p7	ID#:2RptOrPt7xGyL6hZXyCkjD	tPHL_VOA_1p7_1p7	140		0.0000000069	0.0000000121	GELE			Numeric Limit	15	tPHL_VOA_1p7_1p7		False						
	ADuM225_pd_ipat_flow	Tf_prop_delay_1M_1p7_1p7	ID#:2RptOrPt7xGyL6hZXyCkjD	tPHL_VOB_1p7_1p7	142		0.000000007	0.000000012	GELE			Numeric Limit	15	tPHL_VOB_1p7_1p7		False						
	ADuM225_pd_ipat_flow	pulse_width_distortion_1M_1p7_1p7	ID#:2hptOrPt7xGyL6hZXyCkjD	tt_pulse_width_distortion_1M_1p7_1p7	10000023				LOG			Numeric Limit			Seconds()-Locals.StepStartTime	False						
	ADuM225_pd_ipat_flow	pulse_width_distortion_1M_1p7_1p7	ID#:2hptOrPt7xGyL6hZXyCkjD	tPWD_VOA_1p7_1p7	145		-0.0000000019	0.0000000019	GELE			Numeric Limit	15	tPWD_VOA_1p7_1p7		False						
	ADuM225_pd_ipat_flow	pulse_width_distortion_1M_1p7_1p7	ID#:2hptOrPt7xGyL6hZXyCkjD	tPWD_VOB_1p7_1p7	147		-0.000000002	0.000000002	GELE			Numeric Limit	15	tPWD_VOB_1p7_1p7		False						
	ADuM225_pd_ipat_flow	ch_ch_match_1M_1p7_1p7	ID#:2xptOrPt7xGyL6hZXyCkjD	tt_ch_ch_match_1M_1p7_1p7	10000024				LOG			Numeric Limit			Seconds()-Locals.StepStartTime	False						
	ADuM225_pd_ipat_flow	ch_ch_match_1M_1p7_1p7	ID#:2xptOrPt7xGyL6hZXyCkjD	tPSKCD_Fall_1p7_1p7	148		-0.000000002	0.000000002	GELE			Numeric Limit	15	tPSKCD_Fall_1p7_1p7		False						
	ADuM225_pd_ipat_flow	ch_ch_match_1M_1p7_1p7	ID#:2xptOrPt7xGyL6hZXyCkjD	tPSKCD_RiseFall_1p7_1p7	150		-0.000000002	0.000000002	GELE			Numeric Limit	15	tPSKCD_RiseFall_1p7_1p7		False						
	ADuM225_pd_ipat_flow	ch_ch_match_1M_1p7_1p7	ID#:2xptOrPt7xGyL6hZXyCkjD	tPSKCD_Rise_1p7_1p7	149		-0.0000000023	0.0000000023	GELE			Numeric Limit	15	tPSKCD_Rise_1p7_1p7		False						
	ADuM225_pd_ipat_flow	func_1Mbps_1p7_1p7	ID#:XbNkiRjw7xGyNKhZXyCkjD	tt_func_1Mbps_1p7_1p7	30000025				LOG			Numeric Limit			Seconds()-Locals.StepStartTime	False						
	ADuM225_pd_ipat_flow	func_1Mbps_1p7_1p7	ID#:XbNkiRjw7xGyNKhZXyCkjD	func_1Mbps_1p7_1p7	74		1	1	GELE			Numeric Limit	17	0		False						
	ADuM225_pd_ipat_flow	func_1Mbps_1p7_1p7	ID#:XbNkiRjw7xGyNKhZXyCkjD	func_1Mbps_1p7_1p7	75		1	1	GELE			Numeric Limit	17	1		False						
	ADuM225_pd_ipat_flow	func_1Mbps_1p7_1p7	ID#:XbNkiRjw7xGyNKhZXyCkjD	func_1Mbps_1p7_1p7	76		1	1	GELE			Numeric Limit	17	2		False						
